n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.519993,0.49575,0.019,0.676635,0.660708,0.9999
10000,0.535973,0.49935,0.0188,0.670434,0.669193,0.9998
10000,0.456949,0.49555,0.0192,0.675135,0.664962,0.9997
10000,0.656043,0.49545,0.0194,0.661632,0.667368,0.9999
10000,0.409631,0.49975,0.0195,0.657331,0.662928,0.9999
10000,0.816012,0.49985,0.0193,0.666733,0.672118,1
10000,0.72953,0.49825,0.0195,0.665633,0.665842,0.9996
10000,0.3782,0.50435,0.0194,0.669534,0.669259,1
10000,0.597835,0.49885,0.0192,0.666533,0.668175,0.9998
10000,0.307916,0.49905,0.02,0.665833,0.673717,0.9998
10000,0.395319,0.49735,0.0189,0.671734,0.670838,1
10000,0.277282,0.49685,0.019,0.667834,0.669233,1
10000,0.872793,0.50055,0.0191,0.662633,0.668183,0.9996
10000,0.668957,0.50325,0.0195,0.667934,0.666195,0.9998
10000,0.320871,0.50425,0.0197,0.669834,0.665744,1
10000,0.403588,0.49935,0.0189,0.670034,0.658364,1
10000,0.379922,0.50185,0.0191,0.669134,0.670603,1
10000,0.468072,0.49955,0.0199,0.666533,0.667885,0.9998
10000,0.314799,0.49715,0.0201,0.663033,0.664611,1
10000,0.26275,0.49765,0.0192,0.669434,0.667246,1
10000,0.59609,0.49855,0.0196,0.666433,0.663117,0.9998
10000,0.761426,0.49985,0.0191,0.672334,0.66777,1
10000,0.600571,0.50245,0.0191,0.664333,0.664328,1
10000,0.529778,0.50305,0.0192,0.662633,0.666423,0.9999
10000,0.700466,0.50445,0.019,0.667033,0.674324,1
10000,0.309077,0.50475,0.0188,0.661532,0.667344,0.9999
10000,0.38697,0.49545,0.0201,0.667433,0.660371,0.9998
10000,0.362636,0.50075,0.0186,0.659132,0.669294,0.9998
10000,0.257612,0.50215,0.0192,0.661432,0.666657,0.9999
10000,0.746342,0.50355,0.0195,0.666033,0.671236,0.9998
10000,0.401207,0.49945,0.0193,0.665233,0.665335,1
10000,0.828068,0.49845,0.0197,0.664833,0.666816,0.9997
10000,0.444205,0.505751,0.0192,0.670334,0.671469,1
10000,0.388261,0.50035,0.0186,0.668634,0.674126,1
10000,0.819068,0.493849,0.019,0.664433,0.663502,0.9999
10000,0.448389,0.50035,0.0197,0.670034,0.66595,1
10000,0.377841,0.50145,0.0195,0.670334,0.666479,0.9997
10000,0.361781,0.50355,0.0191,0.664333,0.662156,1
10000,0.523305,0.49975,0.019,0.669034,0.665939,0.9998
10000,0.624743,0.49695,0.0195,0.667133,0.667571,0.9999
10000,0.311609,0.49825,0.0194,0.667233,0.660844,1
10000,0.533299,0.49965,0.0197,0.666033,0.674517,1
